ENTRY,AGL thermal conductivity,unit cell stoichiometry,unit cell IUPAC valence,relaxed bravais lattice,space group,Pearson symbol
Sb1Sc1 [fd0d3f1dd667d640],10.2735,"0.5, 0.5",8,FCC,225 - Fm3m,cF8
Sb1Sn1 [b8c7ff55d630ba0c],3.36838,"0.5, 0.5",9,FCC,225 - Fm3m,cF8
Sb1Sn1 [9b2cec3b37cfebab],1.76885,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Sb1Tb1[234233835529eb17],9.35469,"0.5, 0.5",9,FCC,225 - Fm3m,cF8
Sb1Th1 [20cd22d9d9abd84e],4.60355,"0.5, 0.5",9,FCC,225 - Fm3m,cF8
Sb1Th1 [fead581553bff06e],4.81521,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Sb1Tl1 [035c219449edca3f],1.47699,"0.5, 0.5",8,FCC,216 - F43m,cF8
Sb1Y1 [c4c839a3ba80c695],10.5594,"0.5, 0.5",8,FCC,225 - Fm3m,cF8
Sb2Sc4 [717b4b75479a0cbd],5.29646,"0.333333333, 0.666666667",22,TET,129 - P4/nmm,tP6
Sb2Sr4 [97c214b186e991bf],2.54954,"0.333333333, 0.666666667",18,BCT,139 - I4/mmm,tI12
Sb2Ta6 [e3a0b8604eae5a40],5.88011,"0.25, 0.75",40,CUB,223 - Pm3n,cP8
Sb2Ti6 [f452acc0a88b216f],3.13206,"0.25, 0.75",34,CUB,223 - Pm3n,cP8
Sb2V6 [33ef6a9a103460ff],7.40081,"0.25, 0.75",40,CUB,223 - Pm3n,cP8
Sb2Zr4 [df488c3596dd282a],3.25829,"0.333333333, 0.666666667",26,BCT,139 - I4/mmm,tI12
Sb4Ta5 [c51285e5e6e00f21],2.8749,"0.444444444, 0.555555556",45,BCT,87 - I4/m,tI18
Sb4Th2 [3da782f49ab267fc],2.43995,"0.666666667, 0.333333333",28,TET,129 - P4/nmm,tP6
Sb4Zr4 [de392fe5ed0db5b0],5.7095,"0.5, 0.5",36,CUB,198 - P213,cP8
Sb6Sr10 [5c6b84f5e53d12c2],1.29694,"0.375, 0.625",50,HEX,193 - P63/mcm,hP16
Sb6Tb8[9767438997113330],1.8898,"0.428571429, 0.571428571",62,BCC,220 - I43d,cI28
Sb6Tl21 [f7933008a130dc06],0.0896796,"0.222222222, 0.777777778",93,BCC,229 - Im3m,cI54
Sb6Y8 [9d284b0e2cc08045],2.08844,"0.428571429, 0.571428571",54,BCC,220 - I43d,cI28
Sb6Yb10[8a08dd2fc13157c8],1.33791,"0.375, 0.625",60,HEX,193 - P63/mcm,hP16
Sb6Zr6 [19a2db25529e85d4],4.94251,"0.5, 0.5",54,ORCC,63 - Cmcm,oS24
Sb8Tb4 [23d5fd2c93331560],1.9415,"0.666666667, 0.333333333",56,ORCC,64 - Cmce,oS24
Sb8Th6 [bf82971701a6774c],2.4873,"0.571428571, 0.428571429",64,BCC,220 - I43d,cI28
Sb8Zr10 [9fd9c28e5fd4b28c],2.404,"0.444444444, 0.555555556",80,HEX,193 - P63/mcm,hP18
Sc1Zn1 [336873381da1c2de],12.2107,"0.5, 0.5",5,CUB,221 - Pm3m,cP2
Sc4Tc8 [45d4dd170fde680b],1.76213,"0.333333333, 0.666666667",68,HEX,194 - P63/mmc,hP12
Sn2Ta6 [98068f562500cc3c],1.59843,"0.25, 0.75",38,CUB,223 - Pm3n,cP8
Sn2Ti4 [e2b667696c1074b9],5.82538,"0.333333333, 0.666666667",24,HEX,194 - P63/mmc,hP6
Sn2Ti4 [f35f867a2aebed31],5.80848,"0.333333333, 0.666666667",24,HEX,194 - P63/mmc,hP6
Sn2V6 [80fb0ea681e0c544],2.96193,"0.25, 0.75",38,CUB,223 - Pm3n,cP8
Sn2Zr6 [7c81e8cd1c35200f],3.21006,"0.25, 0.75",32,CUB,223 - Pm3n,cP8
Sn3Tb1 [2d7ebd551d6c4008],1.14172,"0.75, 0.25",16,CUB,221 - Pm3m,cP4
Sn3Th1 [985fa81a3cc9de17],0.968624,"0.75, 0.25",16,CUB,221 - Pm3m,cP4
Sn3Y1 [16e97ffc13df1029],1.20763,"0.75, 0.25",15,CUB,221 - Pm3m,cP4
Sn3Yb1 [d1a20f2b9212802b],2.45641,"0.75, 0.25",15,CUB,221 - Pm3m,cP4
Sn4Sr8 [8d075262e6afadfd],1.15473,"0.333333333, 0.666666667",32,ORC,62 - Pnma,oP12
Sn4Tb2 [0f5adf856aadc3b6],3.34686,"0.666666667, 0.333333333",24,ORCC,63 - Cmcm,oS12
Sn4Th2 [d0dc48d85d0738ff],3.36927,"0.666666667, 0.333333333",24,ORCC,63 - Cmcm,oS12
Sn4Y2 [7ef14569b5fa6766],3.68175,"0.666666667, 0.333333333",22,ORCC,63 - Cmcm,oS12
Sn6Tb10[f09367d2731e20d3],2.67829,"0.375, 0.625",64,HEX,193 - P63/mcm,hP16
Sn8Sr2 [b6b877fb8d8fa020],0.51492,"0.8, 0.2",36,ORCC,63 - Cmcm,oS20
Sn8Th10[a09ceded04eb7217],2.00044,"0.444444444, 0.555555556",72,HEX,193 - P63/mcm,hP18
Sr1Tl1 [fe4e8bc133dd6bd4],1.64671,"0.5, 0.5",5,CUB,221 - Pm3m,cP2
Sr1Zn5 [30f4d2baf7f66350],1.41653,"0.166666667, 0.833333333",12,HEX,191 - P6/mmm,hP6
Sr2Tl4 [9b752e7c90f5d4d7],0.697961,"0.333333333, 0.666666667",16,HEX,194 - P63/mmc,hP6
Sr2Zn26 [eb050e34fd4c7d51],1.10117,"0.0714285714, 0.928571429",56,FCC,226 - Fm3c,cF112
Ta1Tc1 [4636a6353e82ddee],37.5016,"0.5, 0.5",12,CUB,221 - Pm3m,cP2
Ta4Zn8 [e0b5eca893372388],5.84161,"0.333333333, 0.666666667",36,HEX,194 - P63/mmc,hP12
Tb1Tl1 [6c26fad1d52c9da4],1.87783,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Tb1Tl3 [6f4b0bfcbf833e6e],0.665623,"0.25, 0.75",13,CUB,221 - Pm3m,cP4
Tb1Zn1[e23048d220081ed3],6.98598,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Tb4Tl2 [53ec4de84a1660a4],1.74216,"0.666666667, 0.333333333",22,HEX,194 - P63/mmc,hP6
Tb6Tl10 [45c4106e86709cfd],0.503902,"0.375, 0.625",54,ORCC,63 - Cmcm,oS32
Tc1Ti1 [f2bf1c69bbb4ccdc],16.6499,"0.5, 0.5",11,CUB,221 - Pm3m,cP2
Tc1V1 [f79a697dd14b142c],37.8581,"0.5, 0.5",12,CUB,221 - Pm3m,cP2
Tc8Zr4 [6547651e77951662],0.73542,"0.666666667, 0.333333333",72,HEX,194 - P63/mmc,hP12
Th1Tl3 [1e89971673a1e76e],0.823113,"0.25, 0.75",13,CUB,221 - Pm3m,cP4
Th1Zn4 [126d7693810b216f],4.22784,"0.2, 0.8",12,BCT,139 - I4/mmm,tI10
Th4Zn2[b1d2750203348158],1.78761,"0.666666667, 0.333333333",20,BCT,140 - I4/mcm,tI12
Th6Tl10[a36e459606596eb0],0.639532,"0.375, 0.625",54,ORCC,63 - Cmcm,oS32
Ti1Y1 [27da31daab3da334],7.63154,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ti1Zn3 [0e7c696a2b110cf5],3.75237,"0.25, 0.75",10,CUB,221 - Pm3m,cP4
Ti2Zn1 [5041054f48131a6f],15.0647,"0.666666667, 0.333333333",10,BCT,139 - I4/mmm,tI6
